experiment,group,metric,n,k,rate,rate_pct,ci95_lo,ci95_hi,ci95_lo_pct,ci95_hi_pct
Exp09_NetworkSize,area_H22,structural,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp09_NetworkSize,area_H36,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp09_NetworkSize,area_H36,structural,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp09_NetworkSize,area_H50,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp09_NetworkSize,area_H50,structural,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp09_NetworkSize,circle_H8,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp09_NetworkSize,circle_H8,structural,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp09_NetworkSize,circle_H12,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp09_NetworkSize,circle_H12,structural,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp09_NetworkSize,circle_H22,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp09_NetworkSize,circle_H22,structural,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp09_NetworkSize,circle_H36,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp09_NetworkSize,circle_H36,structural,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp09_NetworkSize,circle_H50,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp09_NetworkSize,circle_H50,structural,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp09_NetworkSize,ALL,canonical,100,99,0.99,99.0,0.9455138038212947,0.9982325679358593,94.55138038212947,99.82325679358594
Exp10_PruneTolerance,factor=1,canonical,10,5,0.5,50.0,0.236593090512564,0.763406909487436,23.6593090512564,76.3406909487436
Exp10_PruneTolerance,factor=1,structural,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp10_PruneTolerance,factor=1.05,canonical,10,5,0.5,50.0,0.236593090512564,0.763406909487436,23.6593090512564,76.3406909487436
Exp10_PruneTolerance,factor=1.05,structural,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp10_PruneTolerance,factor=1.1,canonical,10,6,0.6,60.0,0.3126737697336583,0.8318196702937638,31.267376973365828,83.18196702937638
Exp10_PruneTolerance,factor=1.1,structural,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp10_PruneTolerance,factor=1.25,canonical,10,7,0.7,70.0,0.3967781474611453,0.8922087325936988,39.67781474611453,89.22087325936988
Exp10_PruneTolerance,factor=1.25,structural,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp10_PruneTolerance,factor=1.5,canonical,10,6,0.6,60.0,0.3126737697336583,0.8318196702937638,31.267376973365828,83.18196702937638
Exp10_PruneTolerance,factor=1.5,structural,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp10_PruneTolerance,factor=2,canonical,10,7,0.7,70.0,0.3967781474611453,0.8922087325936988,39.67781474611453,89.22087325936988
Exp10_PruneTolerance,factor=2,structural,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp11_Baselines,dtree_noFE,canonical,10,0,0.0,0.0,0.0,0.2775327998628892,0.0,27.75327998628892
Exp11_Baselines,dtree_noFE,operator_recovery,10,0,0.0,0.0,0.0,0.2775327998628892,0.0,27.75327998628892
Exp11_Baselines,gboost_noFE,canonical,10,0,0.0,0.0,0.0,0.2775327998628892,0.0,27.75327998628892
Exp11_Baselines,gboost_noFE,operator_recovery,10,0,0.0,0.0,0.0,0.2775327998628892,0.0,27.75327998628892
Exp11_Baselines,hsm,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp11_Baselines,hsm,operator_recovery,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp11_Baselines,lasso_poly2_priorFE,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp11_Baselines,lasso_poly2_priorFE,operator_recovery,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp11_Baselines,linreg_noFE,canonical,10,0,0.0,0.0,0.0,0.2775327998628892,0.0,27.75327998628892
Exp11_Baselines,linreg_noFE,operator_recovery,10,0,0.0,0.0,0.0,0.2775327998628892,0.0,27.75327998628892
Exp11_Baselines,mlp_dense,canonical,10,0,0.0,0.0,0.0,0.2775327998628892,0.0,27.75327998628892
Exp11_Baselines,mlp_dense,operator_recovery,10,0,0.0,0.0,0.0,0.2775327998628892,0.0,27.75327998628892
Exp11_Baselines,mlp_pruned,canonical,10,0,0.0,0.0,0.0,0.2775327998628892,0.0,27.75327998628892
Exp11_Baselines,mlp_pruned,operator_recovery,10,0,0.0,0.0,0.0,0.2775327998628892,0.0,27.75327998628892
Exp11_Baselines,mlp_sk_noFE,canonical,10,0,0.0,0.0,0.0,0.2775327998628892,0.0,27.75327998628892
Exp11_Baselines,mlp_sk_noFE,operator_recovery,10,0,0.0,0.0,0.0,0.2775327998628892,0.0,27.75327998628892
Exp11_Baselines,poly2_priorFE,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp11_Baselines,poly2_priorFE,operator_recovery,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp11_Baselines,rforest_noFE,canonical,10,0,0.0,0.0,0.0,0.2775327998628892,0.0,27.75327998628892
Exp11_Baselines,rforest_noFE,operator_recovery,10,0,0.0,0.0,0.0,0.2775327998628892,0.0,27.75327998628892
Exp12_CrossProduct,cross,structure,10,0,0.0,0.0,0.0,0.2775327998628892,0.0,27.75327998628892
Exp12_CrossProduct,cross,limitation_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp12_CrossProduct,cross,explicit_cross,10,0,0.0,0.0,0.0,0.2775327998628892,0.0,27.75327998628892
Exp12_CrossProduct,diag,structure,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp12_CrossProduct,diag,limitation_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
