experiment,group,metric,n,mean,sd,median,min,max,ci95_lo,ci95_hi
Exp06_Noise,S2_noise0.01,pruned_n,10,3.0,0.0,3.0,3.0,3.0,3.0,3.0
Exp06_Noise,S2_noise0.02,max_rel_err,10,0.009547121114391932,0.006707373371195702,0.008275332609685574,0.00252196211031119,0.0236598124620492,0.004748955252264793,0.014345286976519071
Exp06_Noise,S2_noise0.02,test_rmse,10,0.02130726699855793,0.0009795983643990157,0.02143759110505125,0.0196116689494363,0.0225065268246962,0.020606504543490212,0.022008029453625646
Exp06_Noise,S2_noise0.02,pruned_n,10,3.0,0.0,3.0,3.0,3.0,3.0,3.0
Exp06_Noise,S2_noise0.05,max_rel_err,10,0.025990518752522857,0.010857647922342761,0.026835710147456247,0.00673489167498098,0.0411885106849193,0.01822342532848501,0.0337576121765607
Exp06_Noise,S2_noise0.05,test_rmse,10,0.05198290873817644,0.0035707426202535347,0.051935397500647254,0.0472356732543551,0.0574437000331356,0.04942855334527117,0.0545372641310817
Exp06_Noise,S2_noise0.05,pruned_n,10,3.0,0.0,3.0,3.0,3.0,3.0,3.0
Exp06_Noise,S2_noise0.1,max_rel_err,10,0.05169308178384415,0.03264821684637924,0.0447060785854745,0.0139853732878923,0.0978216761711576,0.0283379543945819,0.0750482091731064
Exp06_Noise,S2_noise0.1,test_rmse,10,0.1028965090439895,0.00729029780406861,0.1032231382186215,0.0906031468197979,0.113766351595838,0.0976813441631374,0.10811167392484161
Exp06_Noise,S2_noise0.1,pruned_n,10,3.0,0.0,3.0,3.0,3.0,3.0,3.0
Exp06_Noise,S3_noise0,max_rel_err,10,1.1657976171721076e-13,9.801689373063853e-14,1.105782132526657e-13,7.61295788314393e-15,3.11750625314744e-13,4.646269988347326e-14,1.8669682355094826e-13
Exp06_Noise,S3_noise0,test_rmse,10,1.34209480075725e-14,1.0379946152763122e-14,1.285184675105185e-14,2.54959616730534e-15,3.43081604149307e-14,5.9955818434063e-15,2.08463141717387e-14
Exp06_Noise,S3_noise0,pruned_n,10,3.0,0.0,3.0,3.0,3.0,3.0,3.0
Exp06_Noise,S3_noise0.01,max_rel_err,10,0.008515407667972097,0.01245536439093626,0.002135596090854455,0.000841983372333574,0.0342015444298949,-0.0003946232656854131,0.01742543860162961
Exp06_Noise,S3_noise0.01,test_rmse,10,0.0102958250197298,0.0012373149590546686,0.01016099549803365,0.00861581139187738,0.0124240433306961,0.009410703218887363,0.011180946820572236
Exp06_Noise,S3_noise0.01,pruned_n,10,3.1,0.31622776601683794,3.0,3.0,4.0,2.87378428371459,3.32621571628541
Exp06_Noise,S3_noise0.02,max_rel_err,10,0.06198154218819276,0.08315699696862264,0.01778931439681225,0.002823093227172,0.215028390711185,0.0024946101254371064,0.12146847425094842
Exp06_Noise,S3_noise0.02,test_rmse,10,0.02343722463804746,0.006254707208986805,0.020646479287548397,0.0188138013559541,0.036060349542817,0.018962876641163695,0.027911572634931228
Exp06_Noise,S3_noise0.02,pruned_n,10,3.1,0.31622776601683794,3.0,3.0,4.0,2.87378428371459,3.32621571628541
Exp06_Noise,S3_noise0.05,max_rel_err,10,0.06758705462614681,0.056807728705690966,0.07168221566694385,0.00426430371569027,0.146788055475279,0.026949253583018716,0.1082248556692749
Exp06_Noise,S3_noise0.05,test_rmse,10,0.05303169835511096,0.003870220977376492,0.052955436534061304,0.0489166458939713,0.0592357560366342,0.05026310905124374,0.055800287658978175
Exp06_Noise,S3_noise0.05,pruned_n,10,3.1,0.31622776601683794,3.0,3.0,4.0,2.87378428371459,3.32621571628541
